District,Division,Population_Thousands,Area
Barguna,Barisal,882,1831
Barisal,Barisal,2291,2785
Bhola,Barisal,1758,3403
Jhalokati,Barisal,596,749
Patuakhali,Barisal,1517,3221
Pirojpur,Barisal,1103,1308
Bandarban,Chittagong,383,4479
Brahmanbaria,Chittagong,2808,1927
Chandpur,Chittagong,2393,1704
Chittagong,Chittagong,7509,5283
Comilla,Chittagong,5304,3085
Cox's Bazar,Chittagong,2275,2492
Feni,Chittagong,1420,928
Khagrachhari,Chittagong,608,2700
Lakshmipur,Chittagong,1711,1456
Noakhali,Chittagong,3072,3601
Rangamati,Chittagong,596,6116
Dhaka,Dhaka,11875,1464
Faridpur,Dhaka,1867,2073
Gazipur,Dhaka,3333,1800
Gopalganj,Dhaka,1149,1490
Jamalpur,Dhaka,2265,2032
Kishoreganj,Dhaka,2853,2689
Madaripur,Dhaka,1149,1145
Manikganj,Dhaka,1379,1379
Munshiganj,Dhaka,1420,955
Mymensingh,Dhaka,5042,4363
Narayanganj,Dhaka,2897,759
Narsingdi,Dhaka,2202,1141
Netrakona,Dhaka,2207,2810
Rajbari,Dhaka,1040,1119
Shariatpur,Dhaka,1146,1182
Sherpur,Dhaka,1334,1364
Tangail,Dhaka,3571,3414
Bagerhat,Khulna,1461,3959
Chuadanga,Khulna,1123,1177
Jessore,Khulna,2742,2567
Jhenaidah,Khulna,1756,1961
Khulna,Khulna,2294,4394
Kushtia,Khulna,1933,1601
Magura,Khulna,913,1049
Meherpur,Khulna,652,579
Narail,Khulna,715,990
Satkhira,Khulna,1973,3858
Bogra,Rajshahi,3371,2920
Joypurhat,Rajshahi,909,965
Naogaon,Rajshahi,2576,3436
Natore,Rajshahi,1696,1896
Nawabganj,Rajshahi,1635,1703
Pabna,Rajshahi,2497,2372
Rajshahi,Rajshahi,2573,2407
Sirajganj,Rajshahi,3072,2498
Dinajpur,Rangpur,2970,3438
Gaibandha,Rangpur,2349,2179
Kurigram,Rangpur,2050,2296
Lalmonirhat,Rangpur,1249,1241
Nilphamari,Rangpur,1820,1580
Panchagarh,Rangpur,981,1405
Rangpur,Rangpur,2866,2368
Thakurgaon,Rangpur,1380,1810
Habiganj,Sylhet,2059,2637
Moulvibazar,Sylhet,1902,2799
Sunamganj,Sylhet,2443,3670
Sylhet,Sylhet,3404,3490
